

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	244	436	20	20	131.0	0
1	334	425	14	20	151.5	0
2	319	382	13	20	63.0	0
3	550	379	18	20	122.0	0
4	351	365	2	20	19.0	0
5	62	273	20	17	99.0	0
6	156	219	13	20	50.5	0
7	191	212	10	20	126.5	0
8	228	97	19	20	239.0	0
9	415	70	18	20	69.0	0
10	64	27	16	20	87.5	0
11	596	8	16	20	201.0	0
12	542	7	20	20	149.0	0	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 2]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	243	436	21	20	133.5	1
1	334	425	14	20	151.5	1
2	320	382	13	20	63.0	1
3	552	379	18	20	122.0	1
4	352	365	2	20	19.0	1
5	64	275	20	15	92.5	1
6	156	219	13	20	50.5	1
7	191	212	10	20	126.5	1
8	228	97	19	20	239.0	1
9	417	72	18	20	69.0	1
10	66	27	16	20	87.5	1
11	598	9	16	20	202.0	1
12	542	9	20	20	149.0	1
13	380	9	14	20	114.0	1	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 2, 7]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	244	436	20	20	131.0	2
1	334	425	14	20	151.5	2
2	321	382	13	20	69.5	2
3	552	381	18	20	122.0	2
4	354	365	2	20	19.0	2
5	66	277	20	15	92.5	2
6	156	220	13	20	50.5	2
7	192	212	10	20	126.5	2
8	228	97	19	20	239.0	2
9	418	72	18	20	69.0	2
10	66	29	16	20	93.5	2
11	599	11	16	20	202.0	2
12	542	10	20	20	149.0	2
13	380	10	14	20	114.0	2	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 2, 7]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	246	437	20	20	131.0	3
1	334	426	14	20	151.5	3
2	321	384	13	20	63.0	3
3	554	381	18	20	122.0	3
4	355	365	2	20	19.0	3
5	67	278	20	15	92.5	3
6	156	220	13	20	50.5	3
7	193	212	10	20	126.5	3
8	228	99	19	20	239.0	3
9	418	74	18	20	69.0	3
10	66	30	16	20	87.5	3
11	599	12	16	20	202.0	3
12	542	11	20	20	150.0	3
13	381	11	14	20	114.0	3	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 2, 7]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	248	438	20	20	131.0	4
1	334	428	14	20	151.5	4
2	322	384	13	20	63.0	4
3	554	381	18	20	122.0	4
4	357	367	2	20	19.0	4
5	67	280	20	15	92.5	4
6	156	220	13	20	50.5	4
7	195	213	10	20	126.5	4
8	228	100	19	20	239.0	4
9	420	76	18	20	69.0	4
10	67	30	16	20	87.5	4
11	599	14	16	20	202.0	4
12	381	12	14	20	114.0	4
13	544	11	20	20	150.0	4	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 7, 2]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	248	438	20	20	131.0	5
1	334	429	14	20	151.5	5
2	322	384	13	20	63.0	5
3	556	383	18	20	122.0	5
4	357	369	2	20	19.0	5
5	69	281	20	15	92.5	5
6	158	220	13	20	50.5	5
7	197	214	10	20	126.5	5
8	228	101	19	20	239.0	5
9	421	76	18	20	69.0	5
10	67	30	16	20	87.5	5
11	599	16	16	20	202.0	5
12	545	12	20	20	149.0	5
13	382	12	14	20	114.0	5	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 2, 7]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	249	438	20	20	131.0	6
1	335	429	14	20	151.5	6
2	323	386	13	20	63.0	6
3	558	384	18	20	122.0	6
4	358	369	2	20	19.0	6
5	71	281	20	15	93.5	6
6	158	220	13	20	50.5	6
7	198	216	10	20	126.5	6
8	230	101	19	20	239.0	6
9	423	76	18	20	69.0	6
10	68	30	16	20	87.5	6
11	599	17	16	20	202.0	6
12	383	13	14	20	114.0	6
13	547	12	20	20	149.0	6	[3, 8, 1, 5, 1, 1, 1, 8, 0, 7, 3, 0, 7, 2]

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
