

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	538	449	10	20	75.5	0
1	563	320	14	20	128.5	0
2	279	232	14	20	115.5	0
3	614	207	20	20	100.0	0
4	279	168	19	20	223.0	0
5	201	156	18	20	67.5	0
6	532	143	12	20	112.0	0
7	457	128	10	20	118.0	0
8	230	108	18	20	164.0	0
9	144	88	12	20	106.5	0
10	550	50	13	20	104.0	0
11	221	8	19	20	115.0	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	449	10	20	75.5	1
1	564	320	14	20	128.5	1
2	281	232	14	20	115.5	1
3	616	207	17	20	83.0	1
4	279	170	19	20	223.0	1
5	201	158	18	20	67.5	1
6	532	143	12	20	112.0	1
7	458	128	10	20	118.0	1
8	232	108	18	20	164.0	1
9	146	88	12	20	106.5	1
10	551	51	13	20	105.0	1
11	222	8	19	20	115.0	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	451	10	20	75.5	2
1	564	322	14	20	128.5	2
2	283	234	14	20	115.5	2
3	616	208	17	20	87.0	2
4	280	171	19	20	224.0	2
5	202	160	18	20	67.5	2
6	534	145	12	20	112.0	2
7	458	128	10	20	118.0	2
8	232	109	18	20	164.0	2
9	146	89	12	20	106.5	2
10	551	53	13	20	105.0	2
11	222	9	19	20	115.0	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	451	10	20	75.5	3
1	565	322	14	20	128.5	3
2	285	234	14	20	115.5	3
3	617	208	17	20	87.0	3
4	280	173	19	20	224.0	3
5	202	160	18	20	67.5	3
6	536	145	12	20	112.0	3
7	459	128	13	20	122.0	3
8	234	109	18	20	163.0	3
9	148	89	12	20	106.5	3
10	551	54	13	20	105.0	3
11	222	10	19	20	115.0	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	453	10	20	75.5	4
1	567	322	14	20	128.5	4
2	286	232	14	22	122.5	4
3	617	210	17	20	87.0	4
4	280	173	19	20	224.0	4
5	203	160	18	20	67.5	4
6	536	145	12	20	112.0	4
7	461	128	10	20	118.0	4
8	236	111	18	20	163.5	4
9	149	89	12	20	106.5	4
10	551	54	13	20	105.0	4
11	222	10	19	20	115.0	4

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	453	10	20	75.5	5
1	567	322	14	20	128.5	5
2	286	234	14	20	115.5	5
3	617	211	17	20	83.0	5
4	279	174	20	20	226.5	5
5	205	162	18	20	67.5	5
6	536	147	12	20	112.0	5
7	461	130	10	22	123.0	5
8	236	112	18	20	163.5	5
9	149	91	12	20	106.5	5
10	551	54	13	20	105.0	5
11	222	10	19	20	115.0	5

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	539	454	10	20	75.5	6
1	569	324	14	20	128.5	6
2	288	231	14	23	120.5	6
3	618	211	17	20	83.0	6
4	280	174	19	20	223.0	6
5	205	162	18	20	67.5	6
6	537	149	12	20	112.0	6
7	462	132	10	20	118.0	6
8	236	113	18	20	163.0	6
9	150	91	12	20	106.5	6
10	552	56	13	20	105.0	6
11	222	10	19	20	115.0	6

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	569	326	14	20	128.5	7
1	288	234	14	20	115.5	7
2	618	211	17	20	83.0	7
3	281	174	19	20	223.0	7
4	207	162	18	20	67.5	7
5	537	151	12	20	112.0	7
6	462	133	10	20	118.0	7
7	236	113	18	20	163.0	7
8	151	91	12	20	106.5	7
9	554	57	13	23	108.0	7
10	224	11	19	20	115.0	7
11	135	5	14	20	62.5	7

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	569	327	14	20	128.5	8
1	289	235	14	20	115.5	8
2	282	174	19	20	222.0	8
3	208	163	18	20	67.5	8
4	539	152	12	20	112.0	8
5	462	133	10	20	118.0	8
6	236	113	18	20	163.0	8
7	152	93	12	20	106.5	8
8	554	57	13	20	105.0	8
9	224	12	19	20	115.0	8
10	136	5	14	20	62.5	8

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	571	327	14	20	128.5	9
1	291	235	14	20	115.5	9
2	283	174	19	20	221.5	9
3	209	163	18	20	67.5	9
4	540	153	12	20	112.0	9
5	464	135	10	20	118.0	9
6	236	113	18	20	163.0	9
7	153	93	12	20	106.5	9
8	555	57	13	20	105.0	9
9	224	12	19	20	115.0	9
10	136	6	14	20	62.5	9

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	571	328	14	20	128.5	10
1	292	237	14	20	115.5	10
2	283	174	19	20	221.5	10
3	209	164	18	20	67.5	10
4	540	153	12	20	112.0	10
5	465	137	10	20	118.0	10
6	237	113	18	20	163.0	10
7	153	93	12	20	106.5	10
8	555	57	13	20	105.0	10
9	224	13	19	20	115.0	10
10	138	8	14	20	62.5	10

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	572	328	14	20	128.5	11
1	293	239	14	20	115.5	11
2	283	174	19	20	221.5	11
3	209	164	18	21	70.5	11
4	540	154	12	20	112.0	11
