

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	230	364	17	20	95.5	0
1	96	246	20	19	110.0	0
2	539	201	10	20	62.5	0
3	137	194	20	18	99.5	0
4	104	167	16	20	86.5	0
5	50	137	20	20	201.0	0
6	395	130	18	20	126.0	0
7	311	100	19	20	269.0	0
8	18	90	16	20	114.5	0
9	233	87	17	20	211.5	0
10	465	49	14	20	69.0	0
11	381	22	20	16	94.5	0

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	230	364	17	20	95.5	1
1	97	247	20	19	109.0	1
2	539	201	10	20	62.5	1
3	137	194	20	18	99.5	1
4	104	169	16	20	86.5	1
5	51	138	20	20	201.0	1
6	395	131	22	20	131.0	1
7	311	100	19	20	269.0	1
8	18	90	12	20	112.5	1
9	233	88	17	20	210.5	1
10	466	49	14	20	69.0	1
11	383	24	20	16	98.5	1

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	231	366	17	20	95.5	2
1	97	247	20	19	109.0	2
2	539	203	10	20	62.5	2
3	137	194	20	18	99.5	2
4	104	171	16	20	86.5	2
5	53	139	20	20	201.0	2
6	395	133	18	20	126.0	2
7	312	100	19	20	269.0	2
8	20	90	12	20	112.5	2
9	235	88	17	20	210.5	2
10	467	49	14	20	69.0	2
11	383	26	20	16	98.5	2
12	91	5	17	20	222.0	2

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	231	366	18	20	99.5	3
1	97	247	20	19	109.0	3
2	540	203	10	20	62.5	3
3	139	195	20	18	99.5	3
4	106	172	16	20	86.5	3
5	54	141	20	20	201.0	3
6	396	134	18	20	126.0	3
7	312	100	19	20	269.0	3
8	21	90	12	20	112.5	3
9	235	88	17	20	210.5	3
10	467	49	14	20	69.0	3
11	384	26	20	16	98.5	3
12	91	5	17	20	221.5	3

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	234	366	16	20	95.5	4
1	98	247	20	19	109.0	4
2	542	203	10	20	62.5	4
3	139	197	20	18	99.5	4
4	106	173	16	20	86.5	4
5	54	141	20	20	201.0	4
6	396	134	18	20	126.0	4
7	312	100	19	20	269.0	4
8	23	92	12	20	112.5	4
